List;Item;ItemType;Sentence;Familiarity_young;Familiarity_old;Literality;CondTarget;CondOther;IdiomType;Timing_verb;Timing_noun_mid;Timing_noun_last;SentLength
1;1;experimental;Toen bevond hij zich in het hol van de leeuw.;4,56;4,82;3,90;figuurlijk;letterlijk;three-noun;270;1469;1960;2385
2;1;experimental;Toen bevond hij zich in het hol van de leeuw.;4,56;4,82;3,90;figuurlijk;ongerelateerd;three-noun;270;1469;1960;2385
1;2;experimental;Toen bracht zij hem het hoofd op hol.;4,50;4,89;1,57;figuurlijk;letterlijk;three-noun;263;1135;1573;1945
2;2;experimental;Toen bracht zij hem het hoofd op hol.;4,50;4,89;1,57;figuurlijk;ongerelateerd;three-noun;263;1135;1573;1945
1;3;experimental;Toen deed hij het in zijn broek.;4,92;4,89;4,96;figuurlijk;letterlijk;two-noun;257;NA;1285;1609
2;3;experimental;Toen deed hij het in zijn broek.;4,92;4,89;4,96;figuurlijk;ongerelateerd;two-noun;257;NA;1285;1609
1;4;experimental;Toen ging ze door de grond.;4,37;5,00;2,19;figuurlijk;letterlijk;two-noun;206;NA;979;1489
2;4;experimental;Toen ging ze door de grond.;4,37;5,00;2,19;figuurlijk;ongerelateerd;two-noun;206;NA;979;1489
1;5;experimental;Toen ging hij door het lint.;4,95;5,00;4,35;figuurlijk;letterlijk;two-noun;220;NA;1142;1553
2;5;experimental;Toen ging hij door het lint.;4,95;5,00;4,35;figuurlijk;ongerelateerd;two-noun;220;NA;1142;1553
1;6;experimental;Toen ging hij uit zijn dak.;4,82;5,00;2,51;figuurlijk;letterlijk;two-noun;225;NA;1194;1462
2;6;experimental;Toen ging hij uit zijn dak.;4,82;5,00;2,51;figuurlijk;ongerelateerd;two-noun;225;NA;1194;1462
1;7;experimental;Toen gooide ze de handdoek in de ring.;4,72;4,85;4,65;figuurlijk;letterlijk;three-noun;262;954;1708;2058
2;7;experimental;Toen gooide ze de handdoek in de ring.;4,72;4,85;4,65;figuurlijk;ongerelateerd;three-noun;262;954;1708;2058
1;8;experimental;Toen gooide ze het geld over de balk.;4,62;4,91;4,55;figuurlijk;letterlijk;three-noun;256;982;1893;2324
2;8;experimental;Toen gooide ze het geld over de balk.;4,62;4,91;4,55;figuurlijk;ongerelateerd;three-noun;256;982;1893;2324
1;9;experimental;Toen had hij een appeltje voor de dorst.;4,69;4,91;4,18;figuurlijk;letterlijk;three-noun;250;823;1726;2207
2;9;experimental;Toen had hij een appeltje voor de dorst.;4,69;4,91;4,18;figuurlijk;ongerelateerd;three-noun;250;823;1726;2207
1;10;experimental;Toen had hij een gat in zijn hand.;4,74;4,87;3,41;figuurlijk;letterlijk;three-noun;256;793;1448;1851
2;10;experimental;Toen had hij een gat in zijn hand.;4,74;4,87;3,41;figuurlijk;ongerelateerd;three-noun;256;793;1448;1851
1;11;experimental;Toen had hij vlinders in zijn buik.;5,00;5,00;1,83;figuurlijk;letterlijk;three-noun;200;550;1484;1909
2;11;experimental;Toen had hij vlinders in zijn buik.;5,00;5,00;1,83;figuurlijk;ongerelateerd;three-noun;200;550;1484;1909
1;12;experimental;Toen hield ze een oogje in het zeil.;4,95;4,85;2,40;figuurlijk;letterlijk;three-noun;300;991;1726;2172
2;12;experimental;Toen hield ze een oogje in het zeil.;4,95;4,85;2,40;figuurlijk;ongerelateerd;three-noun;300;991;1726;2172
1;13;experimental;Toen hield ze hen in de gaten.;4,86;5,00;2,62;figuurlijk;letterlijk;two-noun;213;NA;1183;1845
2;13;experimental;Toen hield ze hen in de gaten.;4,86;5,00;2,62;figuurlijk;ongerelateerd;two-noun;213;NA;1183;1845
1;14;experimental;Toen joeg hij haar op de kast.;4,82;5,00;3,92;figuurlijk;letterlijk;two-noun;409;NA;1482;2237
2;14;experimental;Toen joeg hij haar op de kast.;4,82;5,00;3,92;figuurlijk;ongerelateerd;two-noun;409;NA;1482;2237
1;15;experimental;Toen keek hij de kat uit de boom.;4,92;4,88;2,64;figuurlijk;letterlijk;three-noun;285;896;1429;1808
